address,amount
0x93AF1B9BdD5a98ba92D746DbB8217e652309c857,793470.6782246922
0xfD61CeF0879Dafb9EbFAbe59B8E25d221821c722,625988.015546082
0xBc737139DD8c8D192f4B9aA713aD99036f004007,357329.2385522053
0x4341F1BDd076760013FfC1AeFF9fCf1c2C815fAB,348508.2665248077
0x4fD5065f59643e343272DB1EbCDDdee194Cae358,319755.127994915
0x8eB52188234BadCD7DF8afeD9C3e49BC2e7ffdB9,260252.7460020297
0x8Ed9a20098be9e7D637e3A7f6E7cc998049362A4,208036.8281125205
0xA18993696974119100a7C6A7171225A04Ab2863f,206467.7980875983
0x843a0499a3aDA331bbeCF5E573DAF9C0d808971e,152216.63166024923
0x9E1000D445c0a6dc1252868980c0c1112095483c,113559.20499253843
0x4d08a1Ec94ca749bE19A9209541Ad4590375421D,98413.73478926516
0x57fd845a905c37D39195867d1C8cc8B2d8B3DD6C,93179.83892005056
0x730Ff3540746057336620510e1cED6f5326602e8,84045.47935675998
0xe625F16244624B8674371A01086478152E23C149,81482.79478925146
0xf79c56b207155F53f574518aAc694da7d74d8FB7,77489.00151537852
0x77D20F43B5aeB69a533E2E8A64020491D3e3d198,66996.70447965772
0x89502Dd6626c3D0C971c73B74c40B460D0fAd529,62890.94598759078
0xd9D9CB8037d8a11a511398C3a790DEd9bdF21B08,59740.54437580575
0x24783027F070019A562E2e2BeBC1478C78e6d45e,51234.970286625896
0x3fbDF3e4aD2C661C8EC6067A69e339b1A730eb52,46828.716865730596
0x242559CceEce552cC790bd3F2f9D890921ed6125,44801.49425505512
0x9283f9d6e70522B9f7800bB0a916F9F6643079CB,35656.488410799684
0x958841599bFCeAbdCf4A59b6cC05D30a4e03d055,35153.87839405684
0xE512D2CdE15cE490130160a8B18aE10230A73E61,34690.230176244644
0x39fEc995C2b9776B2aa22a49f61D45aF3f1a2570,34182.38229588269
0xdb3be154AeB741867196A918fa2Bd5f704dc022A,30062.719768080286
0x227E26Ef1c1293dA3D240409961B1C4D7c3cf0Fc,29453.060984706444
0x5a1C3e75838E13B3Bfa33d5c63CB3C05Bd0DfA27,28104.496653165264
0x94e9D73a2aEEC807d85756B84759965b41866450,24921.717934371693
0xC8C38CcEe1ccbfEa48b3f976a648BE276F466ECE,24753.204092276937
0x71Edfe0256A2bC94bc3C612804c2e1024bAB5fC1,24749.139683345045
0x0Cf28F1131131d94976af29e9F6443e5e7CDe996,23591.187649070558
0x940Cc8038C21924128e2C9050eb9CD420e75763C,20864.86624803105
