wallet_address,allocation
0x002a87a8a2e2398522dcF9c4Ad11133d408aC393,556623782200000000000
0x004b639bbAa7ad8696e50017B6b45872c64Cf7c8,5124966987000000000000
0x0057BD83a142Da84B6404616C683e21e7Dd6fA5f,6258888901000000000000
0x005C3bc0Dce03B2b7EA926EeE3C869Ed471b23f2,711518129800000000000
0x005fe151D9185a30A11B3Fc7233ca3b2cfee7EC5,3402243826000000000000
0x006e19101CAC0FA8740d6E39768e83b957c5C06C,3921988839000000000000
0x00757438f320d3e53AcC25B168361a9F7e66d17D,1870757249000000000000
0x009787006bc217B7e37A1F28D65e6227a494213D,332150399900000000000
0x00D69EAf25a939a2E8db6238C9ea055ca9633571,1554376342000000000000
0x00EAE0f664682F868988372B1495EdfFd4C7E488,2990540423000000000000
0x00a2aDda53729A7e1FC77Bc001A836710F0f50f5,641751995700000000000
0x00d2E45938811353506a12cb7a0bDE2a50E0947B,420636605200000000000
0x00d5cBF97A6e9786A1a270c4B4404C81d59D643B,10077111700000000000000
0x01526B5dF69437D3f198bA99a2eACF843dF7be83,1306193017000000000000
0x019226eC48d29040Af75fbA0CC518E44320E3842,1479667266000000000000
0x01a620b776a06FD92c6A63DE15C8B6bc1760763e,470075399900000000000
0x0251a5094286A8508165adc2ca109B1C133048a5,392549129200000000000
0x0299C0eFefD4425f0DEC33a2946d485aBcf95812,1149428126000000000000
0x02CF5AEF4A6c87F89d644B11CC37Ea05a3047D27,908374376400000000000
0x02CaAA46B77aE1FD7246cD6bDA0e41C67398Fecd,6532496520000000000000
0x02d10f41f3A88614C63f718272C60Da7Bf37A53e,3284262867000000000000
0x0300C276FC6C0ACe327aa0ee7b7d658352b732aa,1041908267000000000000
0x0302f495DeeE51627014E73E3b5f937fBdFb2680,1488409209000000000000
0x031B4A1d71B06be17C3efAeEB4c0Ad383b294c8c,384625325800000000000
0x0321e89a7B9484f47e8CCD4daF97Ee8066783c04,954358080500000000000
0x03549D42bC2BA8B61F23D3959FFF2e40A4eAf3e4,643027151800000000000
0x0374F0273e01841F594a4C0becdf7Bfbd9B13a42,3955457642000000000000
0x038EDc61B0913f5a1FB5d4C9C05Ec278B595e652,8211300103000000000000
0x0399932890Ce031F7BD76aB8BA65076D8b6ABef8,2721726793000000000000
0x03e7ab483eA1d177E4BE2472bF16cA17B8cF280d,4654299079000000000000
0x0424e057c2D0bC7e58C75975AAF38BF1e598cd49,2235600901000000000000
0x0425aF61621e3125f4F47dF35cB1c497F76ed05A,2490734999000000000000
0x049c19e8A7b32f51A737EB1666e7b8c170Db6562,656673420200000000000
0x0505e02a042b1C45E2BA6fC154b846831707AB3B,2019450150000000000000
0x051125dC742cA3beE3a341fc46CF282aeaC0D7C9,1628876481000000000000
0x053BBE06Ad4F726C55367742A57A194B729a24e7,900950646000000000000
0x053EA28Fd4CD2173d111532363a252ACc9c56D50,840743709900000000000
0x0546EAb20a5D02966AA929799b030a044FEbd449,1173455121000000000000
0x0557b59Adc65De4553eaA9C380C19bdf1853c89d,448385132600000000000
0x0574580519fC34a4Bd500409b90d1eBF8E00a494,4511486057000000000000
0x05a2A0F4B750f56F375097D8036DC6fEd12056f1,3446013773000000000000
0x05aE8dc6173DC882e815DAFE8cBF31926b7E24D9,2727624981000000000000
0x062f8a715588e9DB0bf5099C3251497dB2288355,2651212298000000000000
0x06348f2DE89203f2275faB842fAf212331629aE5,605915936900000000000
0x0673962924875bd4cBD2e0B22ED63C85cEcaC2e4,3158016871000000000000
0x06E3E1b6607Ad34B7cc6fd7826eEC0fF1592FC79,2579037333000000000000
0x06bfD7DE1E77C31278Aa3d5c344926B79d1EA529,2951744672000000000000
0x06c54249A5cAb0b9917018014ae0e9CA54B70024,2466882501000000000000
0x0716EE1A5A5607277fc3fcb08Db75673e32F3b06,656619254100000000000
0x0736a533fc0efB4816305DFF4df089558F628389,500026351000000000000
0x0755A2c4C1808Ca14CC2928d0D727b16a1C467Bd,2749678565000000000000
0x0764dc400C280FF2B6D1F0582969C0c668271340,313272397700000000000
0x078863ee61006b8eFED5c17417cb9C7C55aa66Af,658530178200000000000
0x07A5d72F389490B774dA66D98716aC63031244BF,1182065272000000000000
0x07D7d3badcb55DCb5f5D4c77b0513B9Ec73507f8,982534505200000000000
0x07c87bC9CcEe8810c10ABea1F933A41361749Dd4,6019858842000000000000
0x07dE9F19149a86Da212b97d30131f4Ce1c3f6C79,1204817570000000000000
0x083c828B221B126965a146658D4e512337182dF1,3444404541000000000000
0x086195883C7c287F9a3A65f7A319c47Dad4554fe,8036337696000000000000
0x0864C1f065fF5564F4649A58A516c7f7C20Bc369,499231396200000000000
0x0864D08518F274DDFC9e6D022f279AE83A33d64C,1205159168000000000000
0x08F76dFa9E1f04D889DED1eFE941f6d9E2B3E429,3678027981000000000000
0x08d7BbAb0eB5455709b74fA6c874331FdF97b7b2,3332790552000000000000
0x0955dCBc07c907e982C88C18235A5Ae5Bd1A4F23,551117308500000000000
0x09722e94E0aC64E12dBbEEE7D1B06624b4e1C612,2944578262000000000000
0x09952e4F8Cc02A5119F589a9C28DF84B1002FEd0,419990114700000000000
0x09A17F60a27ba9d78dfF2D2C26994ae9E464d4F8,3180322269000000000000
0x09fBd9CaF3eD23A816661aD4ad6A7c6b36F4f8dA,448317912800000000000
0x09fa85D29AD0b2BfF76DAb327d8E52c03a4EA2De,507548681800000000000
0x0A04362FbdC46b8af04e26246fa07CC636A7790b,6403269052000000000000
0x0A1089538597858b75812eDBD8d47F8C75dEC9c6,2419414642000000000000
0x0A2bA7784176a947f351AbB378f7D5072eB3C79C,870759080500000000000
0x0A389C8C7101409831E81C82DCc9cdB13dfB4E39,7952386003000000000000
0x0A65C215CE8abC782A4B763FFfA10a41652Ac42C,5604874298000000000000
0x0AD61379a4fB056909b98e696A21A07F0f28F77F,1955773305000000000000
0x0AF26077BD99475c2C33579A7fcEe3F31F1D4E8B,361420898300000000000
0x0Ab20F3D31E9DAF735B3290551128B99cbfC3AD4,4573144265000000000000
0x0B01168b77425d8a4Df02F794d2ceD416EC6e7d4,5386154895000000000000
0x0BCA5e0A5e0840064b98B4C6310b56fa51DD960A,708576569000000000000
0x0BbA9956E4DAf62B142228C631AF56a59946291A,7265816449000000000000
0x0BeC8034d26545c7D81cdD9c9b8a32a5adf38458,2983623155000000000000
0x0C2D5A4E9Dc0c818cDa031D13e7ad18BD6B0a97B,1367373667000000000000
0x0C439c264D4c66a964AE915B20969411ef22667B,2135136619000000000000
0x0C8c73a772D9a2d05B6fDdD6F22A9e1268B75a81,404082598700000000000
0x0CB29d82f3631b457Cf4fd8BB4c616256097c9a4,1333602148000000000000
0x0Ce4B16411b408BC9F06d456175DB3CC79b25299,5024278182000000000000
0x0Cf38D7D713DB7BC9Acf993e23b03f081EEcBAd9,1432926385000000000000
0x0D421b61B42433876cDE49D84f46757D4a633199,5519563689000000000000
0x0D7B8029c42b689BDB4EAB54c1474107291cBA6D,1296225507000000000000
0x0D998071eB7685beC3913A24D84DAE65d840f777,505751811400000000000
0x0E9B063789909565CEdA1Fba162474405A151E66,5968219495000000000000
0x0EAeA94B84Ef62FA7E30624041051537561ea470,763124239600000000000
0x0Ef27F6ee5290b4D38868bC3EFD9aA09662c6d25,679658808100000000000
0x0F4c0b9e594B12a00bc0c363B9Bdd79E46a5c453,552137278000000000000
0x0F7c548C3c100e1AD6A1F092D95884Cc4dCEf4bB,1202586025000000000000
0x0F9747F9332c4B8292dEb69f12954e2adCaE01E4,1037627318000000000000
0x0Fc0f135eCDA84D335B6ec65e284bfC4B72F4E88,3343945582000000000000
0x0aac7844269D190112050Cd2CfEB27E504dD931D,1247121734000000000000
0x0b68527B2E6a828Bf5B72B697e99b3667485dfCB,3787029628000000000000
0x0bE7b271Ba03874Ad78D712246066C20c81693D3,386641617500000000000
0x0ba6eC279e887FcbF49EcE4ceb2a64190F113922,1036346897000000000000
0x0c0508E09f1Fd1ec1CD47cB9050B9CE4FB139676,296754490700000000000
0x0c3EF07338d82406F4E49bcb6DF157B94A3dcD38,2435288217000000000000
0x0c6FA8487aa1F89640C8c59f392503cD21a24C8E,1089116921000000000000
0x0d0D34dCD3242ae5CC6542B058a4be3ec33D5C46,934726179100000000000
0x0d4736132c277a9f5FD20e0a38c7914373A14221,3701487706000000000000
0x0dA2685185BDA57D50D5b19386Fc33f3D108d1e1,2227608372000000000000
0x0ddeb253E906Db05b8592f8c017481316241b350,3422924368000000000000
0x0e54736D61c578cB254ef74D6598eCe99FaF8796,560093767200000000000
0x0e6dF3A282Aa84F673937a5A15b8633C8fa2DBEE,1836775809000000000000
0x0e86E604cE320E0a227B748d62c5eC4523825e3F,1069358361000000000000
0x0e905F4AcAbf5914b71d2FdE1427a46dD2a037c5,1287956284000000000000
0x0ec9902A59b5a19132d2C4F82599868698Ccec67,403306235200000000000
0x0f193b940E0E1779f09c3ce34E7f01bc8E80aC6E,2187800897000000000000
0x0f40915174ab51a59cf82502bda9D12Eca817202,1708128801000000000000
0x0f5874AdcA38440281D1217159570f7a7c00D1eA,924576330200000000000
0x0f85bC7cbfA182F969643537ACcDe85Fd3104aB0,479504832700000000000
0x101b18aaA9712aF949f15952c6BC3CD803D815f3,1832555982000000000000
0x10B3e13822a6255fa5A3b767C6F201aC37c43340,738754165300000000000
0x10C0613d50cf8cD8886a9f248ce13d41B1d90FaF,700506719700000000000
0x10D90Df273E8ff324C9551B72CDF389B02C205ee,2748615692000000000000
0x10DbC99C90234E4447f0366e8368d688f622475A,3801279852000000000000
0x110F1dB5FC2FeEC56d528fd0C4358AFA0CC2509f,3031293687000000000000
0x110d16292db23bF99Bde9B227ca910B319043349,2331358559000000000000
0x112513AEC425C87e0f94f28d2A5aa4Cb6d88A6a4,1073524719000000000000
0x1155cC370ee5A0246Ad60d6a2DDA5350Ef38D775,3078209248000000000000
0x1160f1108c8Eb2903B2C28E0867B4d6f86f10Be4,2569396709000000000000
